,transaction_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,transaction_year,transaction_month,transaction_day,address,postcode,state,property_valuation,first_name,last_name,gender,past_3_years_bike_related_purchases,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,Age,Age_group
10,11,2017-01-17,0.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,40784.0,2017,January,Tuesday,2 Sutherland Street,3799,Victoria,6,Uriah,Bisatt,Male,99,,Property,Mass Customer,N,No,9.0,69.0,60s
11,12,2017-01-05,1.0,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,42172.0,2017,January,Thursday,9 Mcbride Trail,2760,New South Wales,8,Sawyere,Flattman,Male,58,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,8.0,28.0,20s
12,13,2017-02-26,1.0,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,34527.0,2017,February,Sunday,9861 New Castle Avenue,2428,New South Wales,9,Gabriele,Norcross,Male,38,Developer I,Financial Services,High Net Worth,N,Yes,8.0,68.0,60s
13,14,2017-09-10,0.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,34586.0,2017,September,Sunday,52 Moland Street,3331,Victoria,4,Rayshell,Kitteman,Female,85,Account Executive,Financial Services,Affluent Customer,N,No,6.0,40.0,40s
14,15,2017-06-11,0.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,38193.0,2017,June,Sunday,82391 Kensington Lane,3058,Victoria,9,Erroll,Radage,Male,91,Junior Executive,Manufacturing,Mass Customer,N,No,1.0,22.0,20s
15,16,2017-10-10,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,37873.0,2017,October,Tuesday,092 2nd Alley,2135,New South Wales,12,Harlin,Parr,Male,38,Media Manager IV,,Mass Customer,N,Yes,18.0,46.0,40s
16,17,2017-04-03,0.0,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,38206.0,2017,April,Monday,59 Spaight Circle,2233,New South Wales,9,Heath,Faraday,Male,57,Sales Associate,,Affluent Customer,N,Yes,15.0,61.0,60s
17,18,2017-06-02,0.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888.0,2017,June,Friday,032 Bartelt Crossing,2444,New South Wales,8,Marjie,Neasham,Female,79,Professor,,Affluent Customer,N,No,11.0,55.0,50s
18,19,2017-04-06,1.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,39915.0,2017,April,Thursday,18 Jenna Center,2650,New South Wales,7,Sorcha,Keyson,Female,76,Geological Engineer,Manufacturing,High Net Worth,N,No,1.0,22.0,20s
19,20,2017-01-28,1.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,37337.0,2017,January,Saturday,3 Cordelia Plaza,2153,New South Wales,10,Basile,Firth,Male,72,Project Manager,Manufacturing,Mass Customer,N,No,11.0,42.0,40s
20,21,2017-10-09,0.0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,36334.0,2017,October,Monday,28 5th Center,4413,QLD,3,Mile,Cammocke,Male,74,Safety Technician I,Manufacturing,Affluent Customer,N,Yes,16.0,42.0,40s
21,22,2017-06-29,1.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,36361.0,2017,June,Thursday,52 Carey Alley,4740,QLD,5,Deeanne,Durtnell,Female,79,,IT,Mass Customer,N,No,11.0,60.0,60s
22,23,2017-04-08,1.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,42145.0,2017,April,Saturday,96 Texas Plaza,3218,Victoria,7,Olav,Polak,Male,43,,,High Net Worth,N,Yes,1.0,28.0,20s
23,24,2017-10-18,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,42404.0,2017,October,Wednesday,48 Eagan Avenue,4868,QLD,4,Kim,Skpsey,Female,55,Research Assistant I,Argiculture,Mass Customer,N,Yes,15.0,45.0,40s
24,25,2017-06-11,0.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,34079.0,2017,June,Sunday,9 Buell Park,4116,QLD,7,Geoff,Assaf,Male,72,Accounting Assistant III,Financial Services,Mass Customer,N,Yes,21.0,46.0,40s
25,26,2017-01-10,0.0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,42145.0,2017,January,Tuesday,02663 Buell Parkway,2519,New South Wales,11,Trixi,Ginnelly,Female,12,Editor,Financial Services,Mass Customer,N,Yes,16.0,44.0,40s
26,27,2017-04-11,1.0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,41047.0,2017,April,Tuesday,2294 Pleasure Place,2135,New South Wales,12,Garvin,Klees,Male,37,Research Nurse,Health,Mass Customer,N,Yes,12.0,44.0,40s
27,28,2017-12-23,0.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,42560.0,2017,December,Saturday,2951 Petterle Place,2756,New South Wales,9,Fee,Zellmer,Male,5,Senior Quality Engineer,Health,Affluent Customer,N,Yes,21.0,49.0,40s
28,29,2017-10-13,1.0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,42710.0,2017,October,Friday,63 Lukken Drive,2170,New South Wales,9,Mona,Sancraft,Female,62,Safety Technician III,Manufacturing,Mass Customer,N,No,19.0,54.0,50s
29,30,2017-03-15,0.0,Approved,WeareA2B,Standard,low,medium,642.31,513.85,41922.0,2017,March,Wednesday,833 Luster Way,4005,QLD,8,Darrick,Helleckas,Male,18,,IT,Affluent Customer,N,Yes,6.0,61.0,60s
30,31,2017-09-05,1.0,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,37539.0,2017,September,Tuesday,34 Russell Plaza,4127,QLD,6,Star,Praton,Female,3,Staff Accountant III,Telecommunications,High Net Worth,N,Yes,14.0,60.0,60s
31,32,2017-02-18,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,42688.0,2017,February,Saturday,78 Del Sol Hill,2535,New South Wales,8,Marion,Vanichkin,Female,17,Legal Assistant,Manufacturing,Affluent Customer,N,No,4.0,28.0,20s
32,33,2017-03-20,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,42404.0,2017,March,Monday,54 Sage Plaza,4726,QLD,1,Ernst,Hacon,Male,44,Product Engineer,,Affluent Customer,N,Yes,11.0,65.0,60s
33,34,2017-02-28,1.0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,38991.0,2017,February,Tuesday,90 Lawn Parkway,4805,QLD,4,Jephthah,Bachmann,Unknown,59,Legal Assistant,IT,Affluent Customer,N,No,20.0,179.0,
34,35,2017-08-20,0.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,38647.0,2017,August,Sunday,38726 Ilene Crossing,2212,New South Wales,10,Margaretha,Strettle,Female,40,Information Systems Manager,Health,High Net Worth,N,Yes,16.0,59.0,50s
35,36,2017-07-07,0.0,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,37874.0,2017,July,Friday,3496 Brown Drive,2207,New South Wales,8,Lurette,Stonnell,Female,33,VP Quality Control,,Affluent Customer,N,No,22.0,45.0,40s
36,37,2017-01-09,0.0,Approved,Solex,Standard,high,large,1842.92,1105.75,34996.0,2017,January,Monday,7188 Cody Way,3350,Victoria,9,Laurie,Dwerryhouse,Female,46,Social Worker,Health,High Net Worth,N,No,16.0,37.0,30s
37,38,2017-12-06,0.0,Approved,Solex,Standard,medium,medium,71.49,53.62,33549.0,2017,December,Wednesday,1 Claremont Park,3931,Victoria,10,Cordi,Merman,Female,37,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,20.0,67.0,60s
38,39,2017-09-12,0.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,38693.0,2017,September,Tuesday,60 Eagan Circle,4018,QLD,8,Hunfredo,Smalley,Male,5,Assistant Media Planner,Entertainment,Mass Customer,N,No,22.0,44.0,40s
39,40,2017-11-28,1.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,38647.0,2017,November,Tuesday,89314 Eagle Crest Center,4670,QLD,2,Tomasine,Jerche,Female,91,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,N,No,14.0,41.0,40s
40,41,2017-05-08,1.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,37668.0,2017,May,Monday,2028 Lakewood Place,2480,New South Wales,3,Basilius,Coupe,Male,64,Food Chemist,Health,Mass Customer,N,No,16.0,47.0,40s
41,42,2017-05-14,0.0,Approved,Solex,Touring,medium,large,2083.94,675.03,41533.0,2017,May,Sunday,70875 Hudson Point,3212,Victoria,6,Chiquita,Durnall,Female,24,Accountant III,Manufacturing,Mass Customer,N,No,18.0,46.0,40s
42,43,2017-03-17,0.0,Cancelled,WeareA2B,Standard,low,medium,642.31,513.85,41922.0,2017,March,Friday,543 Killdeer Park,2322,New South Wales,4,Indira,Belt,Female,38,Director of Sales,Retail,Mass Customer,N,No,5.0,40.0,40s
43,44,2017-12-22,0.0,Approved,Solex,Standard,low,medium,1289.85,74.51,37668.0,2017,December,Friday,22125 Ramsey Drive,3198,Victoria,9,Neron,Verick,Male,63,Assistant Media Planner,Entertainment,Affluent Customer,N,Yes,17.0,41.0,40s
44,45,2017-06-07,1.0,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,42172.0,2017,June,Wednesday,3107 Calypso Terrace,2210,New South Wales,9,Trace,Woodhead,Male,64,Senior Financial Analyst,Financial Services,Mass Customer,N,No,8.0,47.0,40s
45,46,2017-06-20,0.0,Approved,Solex,Standard,medium,medium,1163.89,589.27,42560.0,2017,June,Tuesday,957 Veith Junction,2047,New South Wales,10,Kaila,Allin,Female,98,,,Affluent Customer,N,Yes,15.0,51.0,50s
46,47,2017-05-07,1.0,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,34527.0,2017,May,Sunday,4853 Gulseth Avenue,4503,QLD,5,Matthew,Jeaycock,Male,51,Registered Nurse,Health,Affluent Customer,N,No,2.0,30.0,30s
47,48,2017-06-10,1.0,Approved,Solex,Standard,medium,medium,1151.96,649.49,41009.0,2017,June,Saturday,9 Michigan Terrace,2145,New South Wales,8,Rebbecca,Casone,Female,46,Biostatistician II,,Mass Customer,N,Yes,8.0,47.0,40s
48,49,2017-06-17,0.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,38206.0,2017,June,Saturday,62 Steensland Road,4350,QLD,3,Nolly,Ownsworth,Male,63,VP Quality Control,,Affluent Customer,N,No,1.0,29.0,20s
49,50,2017-05-10,0.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,37337.0,2017,May,Wednesday,6 Homewood Avenue,2142,New South Wales,8,Whitby,Schapero,Male,38,Account Executive,Manufacturing,Mass Customer,N,Yes,16.0,42.0,40s
50,51,2017-03-24,0.0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,40553.0,2017,March,Friday,15 Almo Lane,2029,New South Wales,10,Fidelio,Dilke,Male,68,Computer Systems Analyst II,Retail,Mass Customer,N,No,18.0,63.0,60s
51,52,2017-11-27,0.0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,39427.0,2017,November,Monday,690 Glacier Hill Circle,2127,New South Wales,10,Curran,Bentson,Male,57,,Financial Services,Mass Customer,N,Yes,13.0,34.0,30s
52,53,2017-12-21,1.0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,33549.0,2017,December,Thursday,89787 Village Green Terrace,4280,QLD,6,Agnella,Gocke,Female,22,Software Test Engineer II,Financial Services,Mass Customer,N,No,16.0,69.0,60s
53,54,2017-02-09,1.0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,34527.0,2017,February,Thursday,18 Elgar Park,2166,New South Wales,9,Loralyn,Wonfor,Female,2,Sales Associate,Property,Mass Customer,N,Yes,18.0,56.0,50s
54,55,2017-09-18,0.0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,38482.0,2017,September,Monday,413 Mayer Street,2046,New South Wales,9,Linc,Jillions,Male,48,Paralegal,Financial Services,Affluent Customer,N,Yes,7.0,66.0,60s
55,56,2017-11-14,0.0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,35470.0,2017,November,Tuesday,39 3rd Drive,2026,New South Wales,10,Reese,Ensor,Male,44,VP Sales,Property,Mass Customer,N,Yes,4.0,26.0,20s
56,57,2017-08-30,1.0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,41434.0,2017,August,Wednesday,44516 Katie Parkway,2765,New South Wales,7,Abba,Masedon,Male,87,Chief Design Engineer,,Mass Customer,N,Yes,13.0,34.0,30s
57,58,2017-11-14,0.0,Approved,Solex,Standard,medium,medium,100.35,75.26,36367.0,2017,November,Tuesday,41 Schurz Center,2749,New South Wales,8,Dalenna,Pinnock,Female,26,Office Assistant III,Financial Services,Affluent Customer,N,Yes,17.0,55.0,50s
58,59,2017-02-15,1.0,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,38750.0,2017,February,Wednesday,68150 Boyd Road,2745,New South Wales,9,Niki,Heathcote,Male,60,Physical Therapy Assistant,,High Net Worth,N,No,3.0,23.0,20s
59,60,2017-12-18,0.0,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,41848.0,2017,December,Monday,11474 Westend Hill,3752,Victoria,8,Nadiya,Champerlen,Female,18,,Manufacturing,Mass Customer,N,No,10.0,53.0,50s
60,61,2017-02-24,0.0,Approved,OHM Cycles,Road,high,large,12.01,7.21,34244.0,2017,February,Friday,308 Jana Crossing,2153,New South Wales,10,Kacey,Rowbottom,Female,47,Help Desk Operator,Property,High Net Worth,N,No,13.0,63.0,60s
61,62,2017-12-18,1.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888.0,2017,December,Monday,163 Straubel Trail,2217,New South Wales,10,Sorcha,Roggers,Female,38,,IT,Mass Customer,N,Yes,22.0,43.0,40s
62,63,2017-12-17,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,42688.0,2017,December,Sunday,68294 Clarendon Crossing,2230,New South Wales,10,Ebony,Zini,Female,58,Senior Quality Engineer,Retail,Mass Customer,N,Yes,16.0,57.0,50s
63,64,2017-07-08,0.0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,39031.0,2017,July,Saturday,486 Mariners Cove Plaza,3046,Victoria,7,Gerek,Yve,Male,73,Legal Assistant,IT,High Net Worth,N,No,4.0,45.0,40s
64,65,2017-05-16,1.0,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,42696.0,2017,May,Tuesday,0322 Dryden Court,3183,Victoria,7,Yale,Tanser,Male,21,Information Systems Manager,Financial Services,Affluent Customer,N,Yes,15.0,47.0,40s
65,66,2017-02-23,1.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,36367.0,2017,February,Thursday,9 Bonner Road,2070,New South Wales,12,Anselm,Gawne,Male,46,Account Executive,Argiculture,High Net Worth,N,No,1.0,21.0,20s
66,67,2017-07-03,1.0,Approved,Solex,Standard,medium,medium,71.49,53.62,41245.0,2017,July,Monday,07041 Briar Crest Lane,2213,New South Wales,10,Vernon,,Male,67,Web Developer II,Retail,Mass Customer,N,No,18.0,62.0,60s
67,68,2017-09-30,1.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,38258.0,2017,September,Saturday,29466 Hanson Pass,4208,QLD,6,Dahlia,Eddoes,Female,37,Information Systems Manager,,Affluent Customer,N,No,9.0,49.0,40s
68,69,2017-10-21,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,41167.0,2017,October,Saturday,0212 Forest Run Trail,2774,New South Wales,8,Heidi,Milner,Female,16,Web Developer II,,Mass Customer,N,No,6.0,53.0,50s
69,70,2017-05-06,1.0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,36334.0,2017,May,Saturday,33055 Menomonie Parkway,4133,QLD,8,Foster,Vannoort,Male,78,Paralegal,Financial Services,Affluent Customer,N,No,8.0,30.0,30s
70,71,2017-01-03,0.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,39915.0,2017,January,Tuesday,4763 Merchant Avenue,2756,New South Wales,8,Hoyt,Glavias,Male,30,Research Associate,Argiculture,Affluent Customer,N,Yes,12.0,38.0,30s
71,72,2017-05-09,1.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,40672.0,2017,May,Tuesday,439 Ridgeway Court,4213,QLD,9,Sammy,Cheese,Male,93,Administrative Officer,Manufacturing,Affluent Customer,N,Yes,16.0,51.0,50s
72,73,2017-07-23,0.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,34165.0,2017,July,Sunday,2 Clyde Gallagher Lane,4170,QLD,5,Minette,Worters,Female,16,Teacher,,Affluent Customer,N,Yes,5.0,62.0,60s
73,74,2017-01-21,1.0,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,35707.0,2017,January,Saturday,97455 Loeprich Lane,2153,New South Wales,9,Pansy,Kiddie,Female,94,,,Mass Customer,N,Yes,6.0,53.0,50s
74,75,2017-06-20,0.0,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,42295.0,2017,June,Tuesday,9527 Ridgeway Street,2073,New South Wales,10,Dollie,Sealy,Female,28,VP Product Management,Property,Mass Customer,N,No,19.0,44.0,40s
75,76,2017-03-10,0.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,33552.0,2017,March,Friday,7 Jackson Point,3561,Victoria,1,Rea,Hasser,Female,20,Statistician II,Retail,High Net Worth,N,Yes,18.0,45.0,40s
76,77,2017-06-02,0.0,Approved,WeareA2B,Standard,medium,small,175.89,131.92,37668.0,2017,June,Friday,74 Anniversary Junction,2330,New South Wales,6,Shermie,Andrin,Male,79,Automation Specialist IV,Financial Services,Mass Customer,N,No,7.0,33.0,30s
77,78,2017-11-07,0.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,36145.0,2017,November,Tuesday,2083 Spaight Court,3977,Victoria,8,Arch,Van der Kruis,Male,37,Business Systems Development Analyst,Argiculture,Affluent Customer,N,No,8.0,38.0,30s
78,79,2017-09-12,1.0,Approved,Giant Bicycles,Standard,high,medium,1179.0,707.4,35667.0,2017,September,Tuesday,2796 Caliangt Circle,2204,New South Wales,12,Tybi,Silliman,Female,76,Account Executive,Manufacturing,Mass Customer,N,No,18.0,54.0,50s
79,80,2017-12-16,0.0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,38693.0,2017,December,Saturday,96061 Ludington Place,2086,New South Wales,11,Pablo,Small,Male,11,Data Coordiator,Entertainment,Mass Customer,N,No,13.0,45.0,40s
80,81,2017-10-07,1.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,33879.0,2017,October,Saturday,5037 Merchant Crossing,2226,New South Wales,11,Bee,Blazewicz,Female,58,,Health,High Net Worth,N,No,13.0,36.0,30s
81,82,2017-04-27,1.0,Approved,Solex,Standard,medium,large,1071.23,380.74,40670.0,2017,April,Thursday,289 Haas Street,2075,New South Wales,11,Gleda,Cokely,Female,93,Software Test Engineer III,Property,High Net Worth,N,No,19.0,57.0,50s
82,83,2017-04-01,1.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,37626.0,2017,April,Saturday,4423 Bartelt Parkway,2038,New South Wales,12,Kerr,Simmell,Male,97,Internal Auditor,IT,Mass Customer,N,Yes,18.0,56.0,50s
83,84,2017-11-02,1.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888.0,2017,November,Thursday,5 Grim Center,2069,New South Wales,12,Rich,Mathiasen,Male,78,Accountant III,,Mass Customer,N,Yes,14.0,65.0,60s
84,85,2017-02-13,1.0,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,38339.0,2017,February,Monday,73042 Roth Crossing,2100,New South Wales,11,Kane,Tixall,Male,1,Analyst Programmer,,Mass Customer,N,No,8.0,65.0,60s
85,86,2017-07-19,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,38258.0,2017,July,Wednesday,171 Fordem Junction,2233,New South Wales,10,Job,Sleney,Male,75,Occupational Therapist,Health,High Net Worth,N,Yes,7.0,34.0,30s
86,87,2017-05-23,0.0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,33455.0,2017,May,Tuesday,2640 Manley Point,2166,New South Wales,9,Fields,Langdon,Male,78,Editor,Financial Services,Mass Customer,N,No,8.0,49.0,40s
87,88,2017-08-06,0.0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,34079.0,2017,August,Sunday,3 Hintze Pass,3133,Victoria,10,Malynda,Tumber,Female,41,Help Desk Operator,Property,High Net Worth,N,Yes,7.0,57.0,50s
88,89,2017-04-04,1.0,Approved,OHM Cycles,Road,high,large,12.01,7.21,40303.0,2017,April,Tuesday,2 Mcbride Road,3070,Victoria,10,Benedicto,Hoxey,Male,74,Speech Pathologist,Health,Mass Customer,N,Yes,14.0,56.0,50s
89,90,2017-08-15,1.0,Approved,Solex,Standard,medium,medium,478.16,298.72,34143.0,2017,August,Tuesday,67234 Transport Hill,2777,New South Wales,7,Cary,Garron,Male,76,Quality Control Specialist,Manufacturing,Mass Customer,N,No,11.0,38.0,30s
90,91,2017-04-15,1.0,Approved,Solex,Standard,high,medium,1024.66,614.8,35160.0,2017,April,Saturday,72 Dorton Crossing,3133,Victoria,10,Dylan,Meaker,Male,69,Senior Financial Analyst,Financial Services,Affluent Customer,N,Yes,17.0,68.0,60s
91,92,2017-07-25,1.0,Approved,Solex,Standard,medium,medium,1945.43,333.18,36668.0,2017,July,Tuesday,6 Heffernan Center,2125,New South Wales,11,Jodee,Judkins,Female,98,Recruiting Manager,Health,Mass Customer,N,No,12.0,42.0,40s
92,93,2017-11-28,1.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,36498.0,2017,November,Tuesday,6088 Roxbury Hill,2766,New South Wales,8,Gordon,Gowar,Male,63,Project Manager,Retail,Mass Customer,N,Yes,10.0,46.0,40s
93,94,2017-12-23,0.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,38482.0,2017,December,Saturday,105 Shelley Alley,2209,New South Wales,10,Wallache,Simchenko,Male,33,Civil Engineer,Manufacturing,Mass Customer,N,No,21.0,48.0,40s
94,95,2017-02-26,0.0,Approved,Solex,Standard,medium,medium,441.49,84.99,34071.0,2017,February,Sunday,079 Merry Park,2160,New South Wales,9,Nomi,Mallinder,Female,67,Software Engineer III,Manufacturing,Affluent Customer,N,Yes,8.0,62.0,60s
95,96,2017-02-21,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,40649.0,2017,February,Tuesday,8722 Summit Alley,2065,New South Wales,12,Heath,Olford,Male,33,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,15.0,54.0,50s
96,97,2017-05-31,1.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,38339.0,2017,May,Wednesday,9554 Artisan Pass,2150,New South Wales,10,Arne,Corain,Male,16,Community Outreach Specialist,Financial Services,Mass Customer,N,Yes,10.0,43.0,40s
97,98,2017-06-23,,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,37823.0,2017,June,Friday,55850 Butterfield Road,2168,New South Wales,9,Allianora,Babalola,Female,19,Safety Technician IV,Health,Mass Customer,N,No,7.0,67.0,60s
98,99,2017-03-26,0.0,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,37874.0,2017,March,Sunday,68 Little Fleur Crossing,2046,New South Wales,12,Reggie,Mulliner,Male,97,VP Accounting,Financial Services,Mass Customer,N,No,3.0,24.0,20s
99,100,2017-07-31,0.0,Approved,Solex,Standard,medium,medium,478.16,298.72,36146.0,2017,July,Monday,85688 New Castle Crossing,4171,QLD,10,Tripp,Steed,Male,80,General Manager,Financial Services,Mass Customer,N,Yes,4.0,55.0,50s
100,101,2017-07-27,0.0,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,42226.0,2017,July,Thursday,8611 Loomis Lane,2155,New South Wales,10,Goran,Kwietek,Male,83,Nurse Practicioner,Manufacturing,High Net Worth,N,No,11.0,47.0,40s
101,102,2017-04-14,0.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,40649.0,2017,April,Friday,7909 Pierstorff Crossing,2517,New South Wales,9,Langsdon,Tranfield,Male,51,Quality Control Specialist,Manufacturing,Affluent Customer,N,No,16.0,66.0,60s
102,103,2017-11-12,0.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888.0,2017,November,Sunday,01 Muir Parkway,2096,New South Wales,12,Ethyl,Runham,Female,49,Product Engineer,Financial Services,Affluent Customer,N,Yes,4.0,26.0,20s
103,104,2017-09-12,0.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,38193.0,2017,September,Tuesday,0410 Division Junction,2750,New South Wales,8,Odille,Panketh,Female,40,Automation Specialist II,Health,Mass Customer,N,Yes,9.0,44.0,40s
